id,created_at,created_by,updated_at,updated_by,name
714901c9-d1d6-4cf8-82db-5eb9512f8659,,,NOT NULL,NOT NULL,
be62a518-69fb-44bc-83fe-50fefd61ce61,,,NOT NULL,NOT NULL,
13daee3f-152f-44d1-9ecf-dfa2ff1c6a2c,,,NOT NULL,NOT NULL,
82b6b0ed-6a1a-4976-b9ec-93790dd2ec6e,,,NOT NULL,NOT NULL,
99dfb474-b1e8-4173-9abf-135f0ea40b3e,,,NOT NULL,NOT NULL,
2ba7fab0-22e7-4070-b1ff-f7ef174f0864,,,NOT NULL,NOT NULL,
0031f414-1620-422e-a982-fa2ffdb3ca12,,,NOT NULL,NOT NULL,
7ba3e065-cf8b-4af5-b44c-2d833d7235d2,,,NOT NULL,NOT NULL,
e964acb0-7ddd-4342-8098-e766abc294bb,,,NOT NULL,NOT NULL,
28f009ed-1d8f-422e-ba03-81fdae9cab41,,,NOT NULL,NOT NULL,
c99c3084-2861-4c77-89e2-c3c0c83d528e,,,NOT NULL,NOT NULL,
4a616e26-6566-4149-8991-d597c4b78eaa,,,NOT NULL,NOT NULL,
03589bb7-e4d9-47ef-8dc1-7d9024f429a0,,,NOT NULL,NOT NULL,
dc3502e9-c372-4ca5-9439-669fcaf3064a,,,NOT NULL,NOT NULL,
92c5858d-abfb-42e1-bbcd-f6602edb517b,,,NOT NULL,NOT NULL,
5f360304-96dc-467d-b1a8-3913c2272b19,,,NOT NULL,NOT NULL,
a9a643a8-b52b-4ecd-9e15-f7e6c9ba2feb,,,NOT NULL,NOT NULL,
143f4115-975c-4b4d-8016-7d5a83c8e254,,,NOT NULL,NOT NULL,
e48a8cbf-7bdd-4b10-bd44-899e6dcce4f3,,,NOT NULL,NOT NULL,
68bdca1b-cf4b-49b7-bbf0-5ac5afae98e1,,,NOT NULL,NOT NULL,
b92da045-c1c2-4994-ae3f-9516d2226d43,,,NOT NULL,NOT NULL,
f66ac309-0de2-4808-a31f-a2846e4b5caa,,,NOT NULL,NOT NULL,
60ff0ff0-a62e-431f-a0d0-c6d134d7d798,,,NOT NULL,NOT NULL,
01b2644a-e4fb-4f38-a0bb-1ff50dfda14c,,,NOT NULL,NOT NULL,
7c2518a5-ca9b-46ad-985b-b937549e15c9,,,NOT NULL,NOT NULL,
