id,created_at,created_by,updated_at,updated_by,name
b6deae8d-9c37-4223-b799-71bb79fb475f,,,NOT NULL,NOT NULL,
d45fea32-5c77-46d6-ac00-44e52ca07140,,,NOT NULL,NOT NULL,
33a168bc-0f42-45c9-a258-528e4069e6e1,,,NOT NULL,NOT NULL,
618e3125-5f31-4472-929c-1f10a5262b10,,,NOT NULL,NOT NULL,
77adbe74-e34a-47d5-bbfd-0fab4bc10ff3,,,NOT NULL,NOT NULL,
3c6c5d31-002a-4089-b943-fab94100656b,,,NOT NULL,NOT NULL,
c40c06b9-8f4a-4faf-93b0-19ed37ae81f5,,,NOT NULL,NOT NULL,
76850cf9-08a4-437e-958b-a15c596bd340,,,NOT NULL,NOT NULL,
4b2edd03-1f85-42cc-8051-75fa3514b43e,,,NOT NULL,NOT NULL,
1f21a0ec-9863-4b20-8375-f97d495fde3b,,,NOT NULL,NOT NULL,
b37f4e83-d020-4f41-b2fa-c84961e75178,,,NOT NULL,NOT NULL,
c45c4470-e867-4212-b905-9913941a7529,,,NOT NULL,NOT NULL,
2c7d4f06-072a-4642-bc2f-3352838cf061,,,NOT NULL,NOT NULL,
eb1cac32-92c2-43c6-8378-37a9f92ddc96,,,NOT NULL,NOT NULL,
d4cb1887-3b69-4b51-9ddd-574238d8e531,,,NOT NULL,NOT NULL,
e4a76bf4-a1eb-4a9c-9a96-d455b2ae44c2,,,NOT NULL,NOT NULL,
a0a8e625-818e-48d1-8e76-e4a50f4fa1c9,,,NOT NULL,NOT NULL,
a612677d-399b-4474-8201-1728b09ee51b,,,NOT NULL,NOT NULL,
9ab95d77-ec93-40ac-a221-f9fa5a71fc00,,,NOT NULL,NOT NULL,
650758c0-6c14-4254-a6d9-9c9fd097e1b7,,,NOT NULL,NOT NULL,
52edea13-7c2f-46f9-abb6-777bf3aec026,,,NOT NULL,NOT NULL,
ecda58c5-30b3-4519-bced-3348c916e423,,,NOT NULL,NOT NULL,
2fc40595-2e31-48be-8560-36676c983b64,,,NOT NULL,NOT NULL,
d173972b-3266-455f-858d-4176afa0d0fa,,,NOT NULL,NOT NULL,
f2acb9d2-d39b-4ac0-b4f7-936812ecd753,,,NOT NULL,NOT NULL,
