id,created_at,created_by,updated_at,updated_by,name
0ebb3263-697a-4f2d-884d-75d9fa33053e,,,NOT NULL,NOT NULL,
f62ad10e-cda7-42c0-a78e-6c2285b371f9,,,NOT NULL,NOT NULL,
c9ba9240-c828-40af-afec-c3555e74ada5,,,NOT NULL,NOT NULL,
b576df08-64c9-4ffe-8436-10382691d856,,,NOT NULL,NOT NULL,
c37e0bd4-188b-4c38-8ef4-6b2642590a57,,,NOT NULL,NOT NULL,
e1685d00-739c-4d2f-93ac-2c7fdfbef88b,,,NOT NULL,NOT NULL,
691b72fa-1eaf-4836-8a39-3bf5443c10a6,,,NOT NULL,NOT NULL,
6afee323-b6d9-4edf-85fa-c4a7ca69481e,,,NOT NULL,NOT NULL,
c2f5470a-2d1b-4b7d-ab4c-d14633f39064,,,NOT NULL,NOT NULL,
01606c49-bc37-4499-b5e0-980e6b375641,,,NOT NULL,NOT NULL,
d0293e39-f0eb-4848-9e7a-95f06683b665,,,NOT NULL,NOT NULL,
d4ccc496-e936-476c-a966-b370c3eefd8a,,,NOT NULL,NOT NULL,
2949025b-0811-4678-a955-75a5cb15481a,,,NOT NULL,NOT NULL,
dbe9c0c3-7042-4a45-af3c-abff51dcb19e,,,NOT NULL,NOT NULL,
8aaadc51-5287-45de-9129-cb1765d4ae7c,,,NOT NULL,NOT NULL,
47eb3d9f-4d96-402a-9bd8-2ba8a6d2349b,,,NOT NULL,NOT NULL,
930bfad1-df87-4917-a856-9e1207e40565,,,NOT NULL,NOT NULL,
e833d9e3-0523-4a28-ac1c-e8986e4bf3d5,,,NOT NULL,NOT NULL,
3145a59f-3307-4ec4-a232-4c3414a9e830,,,NOT NULL,NOT NULL,
7490965b-0b23-4515-9ba1-06b9f4ab0d45,,,NOT NULL,NOT NULL,
1cf43088-b9c7-4954-a197-89a61bf5220c,,,NOT NULL,NOT NULL,
cbca5498-0718-494e-890b-a6964ddcb32d,,,NOT NULL,NOT NULL,
40c1722a-7f2f-480a-b7b9-5d3565058f69,,,NOT NULL,NOT NULL,
2af761f8-e984-4a54-a9fb-8ffb04456d14,,,NOT NULL,NOT NULL,
1764a348-e0cd-4219-a08b-1e80ae32e65a,,,NOT NULL,NOT NULL,
