id,created_at,created_by,updated_at,updated_by,name
387620d4-741b-4aea-978a-58041f44978c,,,NOT NULL,NOT NULL,
020b7751-3727-4b9d-a86c-f96d8090d013,,,NOT NULL,NOT NULL,
ff67873c-fe88-4e3c-a082-cc23e40c951c,,,NOT NULL,NOT NULL,
2a10f510-be83-47bf-a85a-950a1f460d2c,,,NOT NULL,NOT NULL,
70889863-b53b-4dd3-b903-32616ca9bda3,,,NOT NULL,NOT NULL,
62daae2e-9542-4088-85bc-c4c808870f27,,,NOT NULL,NOT NULL,
dfbb289f-3db9-4f6d-9d2c-721a59a191d0,,,NOT NULL,NOT NULL,
935348ff-097c-45fb-b08c-a7185e15f3cb,,,NOT NULL,NOT NULL,
e4bdbbba-f613-4938-b9eb-67fe4ee4c622,,,NOT NULL,NOT NULL,
409332e4-47fd-4b25-8b58-6ff4a842c67b,,,NOT NULL,NOT NULL,
57ed11eb-0b8a-4d67-8b8e-62ae242b665a,,,NOT NULL,NOT NULL,
3b1918e5-0397-4809-a383-4597b4d45681,,,NOT NULL,NOT NULL,
e0cab266-c0d0-4464-a236-8533c73efdf4,,,NOT NULL,NOT NULL,
2777b775-d40e-484b-a861-c43e3fd62946,,,NOT NULL,NOT NULL,
578b6ef5-f6bd-42f2-9425-5292bb077b39,,,NOT NULL,NOT NULL,
2ae11da3-e08b-4502-ab4a-0702a6a9d466,,,NOT NULL,NOT NULL,
81db1c02-c779-4073-941b-ae39d4e51678,,,NOT NULL,NOT NULL,
b4d12074-63b8-4ab9-98d4-295e040bcee0,,,NOT NULL,NOT NULL,
fc8ed0c8-0872-4654-81ad-163bb17a7b80,,,NOT NULL,NOT NULL,
5df4f335-e5fd-4319-a9bf-eac7ce7215e0,,,NOT NULL,NOT NULL,
fc11fb76-94bc-4753-8adc-072cc1ae606c,,,NOT NULL,NOT NULL,
9aaf58ca-623c-4d5e-8cd2-761ba018b84c,,,NOT NULL,NOT NULL,
d0a141f0-24f7-4f34-9547-a3a221d1e5ff,,,NOT NULL,NOT NULL,
22fe3cb5-9349-46a3-a3f0-c4f80f472ee1,,,NOT NULL,NOT NULL,
0447fd5b-7ba0-4c80-8ec5-438c6e164c92,,,NOT NULL,NOT NULL,
