id,created_at,created_by,updated_at,updated_by,name
d9eb86b4-2a32-4177-b020-8c6c719dcc4a,,,NOT NULL,NOT NULL,
d49ba144-9c21-48ae-a4a6-b983e7a53e36,,,NOT NULL,NOT NULL,
e4426ef5-9339-48ee-9471-acec48c6c46c,,,NOT NULL,NOT NULL,
c559ce24-55a5-4cf7-87ea-346123609321,,,NOT NULL,NOT NULL,
5a3382a9-9d06-43d9-b549-23498ee88b38,,,NOT NULL,NOT NULL,
7c5dd6ea-fd72-422a-a131-910f2f70682e,,,NOT NULL,NOT NULL,
d4864d39-d8ab-4cbb-b8cd-7bf9bb1469de,,,NOT NULL,NOT NULL,
7a622631-b689-4d57-bc0c-4373971d3ba9,,,NOT NULL,NOT NULL,
d7ec5695-0da8-4d55-84e6-be88e5ebe172,,,NOT NULL,NOT NULL,
6b50384b-6bdd-403d-b787-2d1b7253a45a,,,NOT NULL,NOT NULL,
b20cd2e1-f522-45d6-8568-26d540dd8d1f,,,NOT NULL,NOT NULL,
da8b4005-030f-414e-b9fb-9dd2a0aa4840,,,NOT NULL,NOT NULL,
200e17ef-52f2-4c49-959f-98a3ac108365,,,NOT NULL,NOT NULL,
06d9713d-baff-46d2-8604-c5a126cc79e9,,,NOT NULL,NOT NULL,
59fee005-fcde-4905-9440-e3abe14b6669,,,NOT NULL,NOT NULL,
f67a30b5-4f93-4e07-8c53-11c8ab603e11,,,NOT NULL,NOT NULL,
eda0717b-dff3-477f-a9cf-926573861e08,,,NOT NULL,NOT NULL,
72f57a1f-c9e9-4d17-a214-90617c53ca4a,,,NOT NULL,NOT NULL,
27908458-c446-4e12-8f91-875747067460,,,NOT NULL,NOT NULL,
03c5b6c4-dbd2-4a92-813c-ef45faa21c00,,,NOT NULL,NOT NULL,
c3b272b9-1a48-486a-bee8-0c70bf09a0ae,,,NOT NULL,NOT NULL,
19f8da9b-2161-49a4-b187-d91d178e7a44,,,NOT NULL,NOT NULL,
7add8ba1-8512-40c9-a9ef-3b842982fd2d,,,NOT NULL,NOT NULL,
6586209e-1098-4423-94cb-5ab312e91124,,,NOT NULL,NOT NULL,
f7b6dad0-efbd-4935-b7b0-92fadb7651b2,,,NOT NULL,NOT NULL,
