id,created_at,created_by,updated_at,updated_by,name
f55a3916-af3b-4f43-a25c-e2b87155f2c6,,,NOT NULL,NOT NULL,
3d5d481e-a97d-4196-9f03-7c936033f2b9,,,NOT NULL,NOT NULL,
4ca9dfd1-f799-4883-b07f-0640d68296c8,,,NOT NULL,NOT NULL,
b5297e77-fd81-40db-95f4-b270dd7bd400,,,NOT NULL,NOT NULL,
76fb7426-2dc3-49a9-8b73-d649f628d0f4,,,NOT NULL,NOT NULL,
b08a0e15-30cf-4850-87e8-53f70de20ad6,,,NOT NULL,NOT NULL,
de15103a-ceaa-4719-b855-e86074441b42,,,NOT NULL,NOT NULL,
bf985b44-621e-46e3-88c0-1c2ec1107c45,,,NOT NULL,NOT NULL,
33b15034-2ada-4699-8da5-890188767810,,,NOT NULL,NOT NULL,
3bb662ac-736f-4e16-930d-f6ca9f5527a7,,,NOT NULL,NOT NULL,
fca94429-a775-4e67-a297-0bd8903697e1,,,NOT NULL,NOT NULL,
7920a255-89f3-4709-92ee-79e2b7bffd73,,,NOT NULL,NOT NULL,
0c29e5f4-8a72-48af-97c2-592741b10426,,,NOT NULL,NOT NULL,
a16234d9-52ee-43b8-a0ee-792290909588,,,NOT NULL,NOT NULL,
775492a3-8b48-4f8d-9f3c-905581f605db,,,NOT NULL,NOT NULL,
87196210-0a76-4c4b-8cf5-6532e85599a8,,,NOT NULL,NOT NULL,
4746a2a5-9462-4306-9514-b233bb4a31c8,,,NOT NULL,NOT NULL,
22dde9d3-d513-4d27-b00f-fc6f5bcdec83,,,NOT NULL,NOT NULL,
0954d586-01d0-4937-aef7-b92c72c70ae2,,,NOT NULL,NOT NULL,
4f57810c-d305-4e88-985c-50d287da493f,,,NOT NULL,NOT NULL,
829f0db9-13c4-418d-8f97-6af4e29708dd,,,NOT NULL,NOT NULL,
ce51a66c-bf6c-4aba-8ed7-c874c2ecaf6b,,,NOT NULL,NOT NULL,
39c39394-67e7-482b-8e6f-a8a57aa4e590,,,NOT NULL,NOT NULL,
2806d1b4-1410-44b5-a3a4-9e42dd5a5a51,,,NOT NULL,NOT NULL,
5ad8caf2-37f2-4186-a779-1c3bcb9b434e,,,NOT NULL,NOT NULL,
