id,created_at,created_by,updated_at,updated_by,name
36b0c7cd-1c16-4792-8014-bd682e27a180,,,NOT NULL,NOT NULL,
178caf7a-7904-4327-8d15-4c0853058758,,,NOT NULL,NOT NULL,
c42b85fd-c9b5-43f8-9c45-dfdc363792dd,,,NOT NULL,NOT NULL,
3cafff70-3909-4164-b1b4-c79610bb0f83,,,NOT NULL,NOT NULL,
e8ab13f4-0b04-4c93-91a8-67c09affe895,,,NOT NULL,NOT NULL,
70faf313-878f-4ca2-a5f2-55c66e33b07a,,,NOT NULL,NOT NULL,
5a50adca-346a-46ce-a692-f7e1840831e1,,,NOT NULL,NOT NULL,
ce0a6f1a-0609-4bd4-9bd9-7b9f91635fcb,,,NOT NULL,NOT NULL,
4e8472e5-355e-4bf1-bf84-3d6c46bbedb4,,,NOT NULL,NOT NULL,
03a29598-7870-40ba-b767-d3f9ffbfe498,,,NOT NULL,NOT NULL,
726b5192-7d04-49a8-9a61-d30a2940e15f,,,NOT NULL,NOT NULL,
b5f42eaa-0585-46ab-891d-92277d9f42b0,,,NOT NULL,NOT NULL,
dd35eb5e-bd30-426b-a7ad-e1d8547da53b,,,NOT NULL,NOT NULL,
bfc30e80-4265-42b6-8d10-b810d07b48f9,,,NOT NULL,NOT NULL,
307bd9a2-6b70-4cf5-9963-ab5480750504,,,NOT NULL,NOT NULL,
ae68d403-e2bd-4dc8-8e08-b83ea2677eba,,,NOT NULL,NOT NULL,
f20e7816-2e82-46f9-8574-52e2d0653538,,,NOT NULL,NOT NULL,
fc8c37a2-c245-4588-b4b5-a27978a2008d,,,NOT NULL,NOT NULL,
916130ba-744e-48bc-9f5a-68322b639c6d,,,NOT NULL,NOT NULL,
1164ec6b-ccb2-44b2-802f-42cb6a03dcf2,,,NOT NULL,NOT NULL,
71e51071-0b37-4d41-a482-62ff84223a22,,,NOT NULL,NOT NULL,
7fdd03d3-b913-4cbd-ac15-bb3770e97a26,,,NOT NULL,NOT NULL,
aab6e846-c4af-4036-9b01-93d87b08cf4d,,,NOT NULL,NOT NULL,
86b7527b-f971-4edb-a0ee-f21c9c655768,,,NOT NULL,NOT NULL,
fc0c65fb-291e-4d84-93d1-1272fca0148d,,,NOT NULL,NOT NULL,
