id,filename,uri,notes,is_preferred,discriminator,created_at,created_by,updated_at,updated_by
1b74f768-8ef8-4b09-ad10-f86011d94798,,,NOT NULL,,,,,NOT NULL,NOT NULL
7ef88600-5579-45da-95ff-d4c301650d7d,,,NOT NULL,,,,,NOT NULL,NOT NULL
c2c21284-4384-4fad-9465-f35b678b7e58,,,NOT NULL,,,,,NOT NULL,NOT NULL
e98ee763-9591-4756-a77f-3804b5f280cf,,,NOT NULL,,,,,NOT NULL,NOT NULL
8e671e27-543c-4b4f-9bdc-05d075f84ce2,,,NOT NULL,,,,,NOT NULL,NOT NULL
55b46667-545f-4f54-8d05-6faa1bd36cb8,,,NOT NULL,,,,,NOT NULL,NOT NULL
5c6e4160-8d7c-48b8-aaca-a981fe01726d,,,NOT NULL,,,,,NOT NULL,NOT NULL
43df7a5d-6521-4559-b8ee-964f4e8df0e0,,,NOT NULL,,,,,NOT NULL,NOT NULL
dfd1072d-6cdd-4bd9-bf3e-66b306915f30,,,NOT NULL,,,,,NOT NULL,NOT NULL
1be8896c-7a8e-4049-a1cf-4063abb3b74b,,,NOT NULL,,,,,NOT NULL,NOT NULL
d636fd7f-8f68-430d-9cfb-7be91bd211d8,,,NOT NULL,,,,,NOT NULL,NOT NULL
67d9916b-7226-48ab-8425-1186bc740957,,,NOT NULL,,,,,NOT NULL,NOT NULL
6de3bcfd-d0e0-4744-bf47-5280838be9ff,,,NOT NULL,,,,,NOT NULL,NOT NULL
6b851e4c-5cc0-4d77-ac48-1b0f056e079d,,,NOT NULL,,,,,NOT NULL,NOT NULL
0247854d-75dd-4dcc-b072-e0177335411b,,,NOT NULL,,,,,NOT NULL,NOT NULL
b97c9dd9-6fe4-45cc-a235-808c2b18968e,,,NOT NULL,,,,,NOT NULL,NOT NULL
e9c7a607-7fba-4d9a-9bdc-70210e7f8016,,,NOT NULL,,,,,NOT NULL,NOT NULL
df5991ba-7b7e-4f62-bced-df0d80fbdc74,,,NOT NULL,,,,,NOT NULL,NOT NULL
e9990cb2-250d-4e96-b40b-3fcb44cbb162,,,NOT NULL,,,,,NOT NULL,NOT NULL
8d95e3a6-88d5-42b0-bab8-c0e458b64ab8,,,NOT NULL,,,,,NOT NULL,NOT NULL
2fdfaa87-ca0b-4b4a-90da-36a9ac839cde,,,NOT NULL,,,,,NOT NULL,NOT NULL
5e15db0b-3764-40e3-8562-0b0ee6e06018,,,NOT NULL,,,,,NOT NULL,NOT NULL
9ba6ff3d-d0e2-4c7b-b6d8-0ba3e21421ec,,,NOT NULL,,,,,NOT NULL,NOT NULL
140e9ba4-cddd-432c-8c5e-b79fa15c3a96,,,NOT NULL,,,,,NOT NULL,NOT NULL
ee637e19-3f12-47b4-a8f6-3195351a4422,,,NOT NULL,,,,,NOT NULL,NOT NULL
