id,created_at,created_by,updated_at,updated_by,name
539ccb5e-4f98-4f7f-b06c-0ee6162b006a,,,NOT NULL,NOT NULL,
92c14e50-fe62-4ab2-b5ad-b3103b06a3f3,,,NOT NULL,NOT NULL,
60b6322e-f53a-4e79-8dbe-76350b41cc38,,,NOT NULL,NOT NULL,
4f17206b-14a5-4990-8a4a-ea179bc39b4f,,,NOT NULL,NOT NULL,
652ac5c7-2706-458b-a079-28d899fb69bc,,,NOT NULL,NOT NULL,
b6a7664a-4356-4853-93c6-7b44ef201e88,,,NOT NULL,NOT NULL,
0d7892ee-5ada-498b-98f0-146e3f52f823,,,NOT NULL,NOT NULL,
1588e319-0bcd-42a5-be62-b2461d195d0d,,,NOT NULL,NOT NULL,
1ffc32d9-7e26-40bd-8179-c4e411e2fb63,,,NOT NULL,NOT NULL,
61b184b4-af88-41bf-8594-abea357eac5a,,,NOT NULL,NOT NULL,
9ed33cc2-6396-413e-83e9-4f42d4e991db,,,NOT NULL,NOT NULL,
1f663c6f-72a3-443c-b4a9-133514d1b236,,,NOT NULL,NOT NULL,
193b16bf-bfd6-4825-9317-d5b3691b7768,,,NOT NULL,NOT NULL,
58b497b2-2960-4652-908f-f41f4043d6f6,,,NOT NULL,NOT NULL,
a251b301-5c3b-47d8-a08c-e2c77d4db7f7,,,NOT NULL,NOT NULL,
fc36461a-cc0b-40cf-ba08-40a136aed0a8,,,NOT NULL,NOT NULL,
34083ae2-3ffe-40f1-a1f7-f2a92e5d240b,,,NOT NULL,NOT NULL,
dddd7205-9228-454c-9f77-65ee09a6a54e,,,NOT NULL,NOT NULL,
ef0f6967-7bf0-4776-8405-658a2dc1fe08,,,NOT NULL,NOT NULL,
bae16e6f-428a-42ee-86b8-6cef7175cc5e,,,NOT NULL,NOT NULL,
ac7d60b2-fd83-473d-8dc0-5da6bf0178f7,,,NOT NULL,NOT NULL,
4da62b52-28c9-4e79-81d3-e23b96828c35,,,NOT NULL,NOT NULL,
f8d6be76-4376-4119-b39c-e51161c660b4,,,NOT NULL,NOT NULL,
06e81c47-758d-4e3d-93db-e988825ba75e,,,NOT NULL,NOT NULL,
30183c41-f222-42cf-bd20-6bdfa1db8d17,,,NOT NULL,NOT NULL,
