id,discriminator,created_at,created_by,updated_at,updated_by,name
c487d41c-da22-4902-ad7a-d93ee1142721,,,,NOT NULL,NOT NULL,
35a58435-60cd-4d2d-a96e-0b8125745ab0,,,,NOT NULL,NOT NULL,
0c28ed2e-1033-4091-8e3a-edc1d1140ead,,,,NOT NULL,NOT NULL,
dbdbedca-3fb6-42df-a33e-23827b21c815,,,,NOT NULL,NOT NULL,
2341d456-fc73-4182-ade6-a3da579b1a4c,,,,NOT NULL,NOT NULL,
11cfc27c-acca-4e53-be5a-a82783cf8c0b,,,,NOT NULL,NOT NULL,
0e81f63d-8b83-4af6-8a2e-94ea43620c90,,,,NOT NULL,NOT NULL,
19d7d2f9-97ce-40c4-889b-c318e0535907,,,,NOT NULL,NOT NULL,
44dc4518-3f90-4870-af11-97bfbefba8a3,,,,NOT NULL,NOT NULL,
55d41e6d-3f8f-4229-8511-0fdcd747cc7d,,,,NOT NULL,NOT NULL,
cc839dbd-9bb7-4c6f-ab10-5fe384926ef6,,,,NOT NULL,NOT NULL,
d9b425e4-56c6-439f-9b2f-a0068f865595,,,,NOT NULL,NOT NULL,
3c10b8ac-db64-4773-bc4c-06c759b2442d,,,,NOT NULL,NOT NULL,
8ceb2ea5-3747-408f-8038-3c51dfc67c14,,,,NOT NULL,NOT NULL,
75f414e3-7c10-4fc9-b18c-96d6ea7b5f0a,,,,NOT NULL,NOT NULL,
99492ffa-3875-4f4d-b3cc-f8137386bf91,,,,NOT NULL,NOT NULL,
2192af70-fd41-4792-af84-a70f1f05ab8d,,,,NOT NULL,NOT NULL,
04ff67aa-65e1-40fe-bfc0-67c6c3569559,,,,NOT NULL,NOT NULL,
84b8beca-f7d6-4df6-b156-adce812ff17f,,,,NOT NULL,NOT NULL,
b56ffdf9-1195-44a7-a723-dd8646dbb63c,,,,NOT NULL,NOT NULL,
8f7edb31-7edf-43c2-a483-555680249db2,,,,NOT NULL,NOT NULL,
b528540d-f3c9-4dae-96f3-52ac2ace81dc,,,,NOT NULL,NOT NULL,
38bb1699-e435-4e7c-b06b-4c5ba43474c7,,,,NOT NULL,NOT NULL,
7c28554c-9e1d-44aa-a337-fe538b677ec7,,,,NOT NULL,NOT NULL,
68bf9e2a-04db-4957-a35f-220103d1cadf,,,,NOT NULL,NOT NULL,
