id,name,legal_id,state,created_at,created_by,updated_at,updated_by
20028593-029b-4cfe-a1b9-aac200b2ea1a,,,,,,NOT NULL,NOT NULL
408dafff-76f6-43b3-8318-5969938d893b,,,,,,NOT NULL,NOT NULL
e177ea14-ab72-446b-b5ec-ccd5f5dcbbc9,,,,,,NOT NULL,NOT NULL
7222dc34-6253-4ef5-9116-05702e8d4cc1,,,,,,NOT NULL,NOT NULL
abf84dd3-cebf-4dbe-9fa0-d6890325f6b4,,,,,,NOT NULL,NOT NULL
a9a19cd7-3880-4e22-a592-7f995d8e3a4b,,,,,,NOT NULL,NOT NULL
8d6c50a0-d8be-4798-8050-f6a73ed74214,,,,,,NOT NULL,NOT NULL
2a7bed3c-9340-4113-b61f-1d891f3048f8,,,,,,NOT NULL,NOT NULL
8e5dfd5b-eb32-48b1-b8d0-11d40ee94d5f,,,,,,NOT NULL,NOT NULL
b5968005-c8fc-45ef-b0ed-3f9904b1c6d3,,,,,,NOT NULL,NOT NULL
47239bd3-a78c-406a-ab64-59e7ef1fefbb,,,,,,NOT NULL,NOT NULL
e9aa11e8-ca7c-45cf-acb9-8311d81ff25f,,,,,,NOT NULL,NOT NULL
b01ad5ea-884e-4cce-a2c8-d0815a42bca9,,,,,,NOT NULL,NOT NULL
293eef7c-6bcd-4d04-8103-0f7cd9c464ef,,,,,,NOT NULL,NOT NULL
b891b4ed-7568-4809-9a99-f18eb6f46c02,,,,,,NOT NULL,NOT NULL
b1b48f71-60a1-450a-b146-3e735df11fc0,,,,,,NOT NULL,NOT NULL
5af9740a-79cc-422d-8951-6094cfb44727,,,,,,NOT NULL,NOT NULL
2cbf4742-c779-4a47-a18d-e5856dca0cad,,,,,,NOT NULL,NOT NULL
4526de25-0584-451e-a171-b49c2963e4a1,,,,,,NOT NULL,NOT NULL
60258734-a7b7-4c95-81a2-90fce7af2568,,,,,,NOT NULL,NOT NULL
8b1e0dc1-61d9-4c6d-ae98-b043cc110ae9,,,,,,NOT NULL,NOT NULL
92cff244-c118-48cc-bef5-56f53cfb2059,,,,,,NOT NULL,NOT NULL
df124525-4393-4de4-8af3-a2891c333300,,,,,,NOT NULL,NOT NULL
8a243f2e-c348-43b5-8354-fd905a4e8c53,,,,,,NOT NULL,NOT NULL
75c33d5f-dcd6-40a7-ac84-f35ec8aba22e,,,,,,NOT NULL,NOT NULL
