id,name,ror_id,uri,created_at,created_by,updated_at,updated_by
76a47017-ca71-4f59-aa09-a2ba7fc0d0ba,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
25e8e670-28a6-43e4-b74b-2f6cf29e9ecb,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
f5ca8045-4035-4344-923b-aba8cda2ae62,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
c482043f-9da1-4f33-b50e-55a46620b9f5,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
6113c1b9-84fe-4ea2-b749-db4fff853c62,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
6e566238-39b2-4bdc-b31d-1a1252a784dd,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
bde3f1d9-dca8-463e-a665-e4d684340bc8,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
ce88057f-cefb-439a-bc2b-13cdf6818636,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
0882e663-5a17-4b9e-8ca8-0b5da98dc26c,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
fda1fc8e-1555-4a22-bcc7-c71dd9f90bae,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
35a2a7a1-0c1e-4cdc-bca9-3662c9fb7e19,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
227adc2f-6e3b-4c8f-8895-9f78f82cd420,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
0ee39d3f-36c7-4b34-a351-82969a3f01cd,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
66930d4a-31d3-4850-88fb-125beef4e0b0,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
16befff2-e313-4292-99ce-786d58ddbb3a,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
027a7267-407a-4d91-b934-5c6074304fbb,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
8e28d775-4607-4efe-bbd0-db26cefac466,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
5dde2302-d1fe-4241-8583-dbb8556413df,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
5b46b00e-4417-41b6-ac30-991b53d384ba,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
53e875b4-641d-452f-bb63-4a3cbb96a069,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
c3e2513a-583c-44a5-b5c6-4b8887af4926,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
bbf45bad-8027-41a6-b62d-efa9add0eba1,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
40be5e70-cc88-463e-a5d7-c8bba77acae3,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
7fc8d094-18b3-4d4e-badd-b8658b20cc69,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
6b57fd06-5396-47f5-ae73-d0bc2e494d26,,NOT NULL,NOT NULL,,,NOT NULL,NOT NULL
